,Model,Metric,Score
480,Decision Tree,F1_score,0.888888888888889
481,Decision Tree,F1_score,0.9292929292929293
482,Decision Tree,F1_score,0.6851851851851852
483,Decision Tree,F1_score,0.8163265306122449
484,Decision Tree,F1_score,0.8760330578512397
485,Linear SVM,F1_score,0.7741935483870969
486,Linear SVM,F1_score,0.9607843137254902
487,Linear SVM,F1_score,0.64
488,Linear SVM,F1_score,0.9111111111111111
489,Linear SVM,F1_score,0.8793103448275862
490,DT-based Bagging,F1_score,0.888888888888889
491,DT-based Bagging,F1_score,0.9807692307692307
492,DT-based Bagging,F1_score,0.702127659574468
493,DT-based Bagging,F1_score,0.8190476190476191
494,DT-based Bagging,F1_score,1.0
495,RandomForest,F1_score,0.888888888888889
496,RandomForest,F1_score,0.970873786407767
497,RandomForest,F1_score,0.6947368421052631
498,RandomForest,F1_score,0.8333333333333333
499,RandomForest,F1_score,0.9904761904761905
500,AdaBoost,F1_score,0.9
501,AdaBoost,F1_score,1.0
502,AdaBoost,F1_score,0.7096774193548386
503,AdaBoost,F1_score,0.7843137254901961
504,AdaBoost,F1_score,0.9807692307692307
505,GradientBoost,F1_score,1.0
506,GradientBoost,F1_score,1.0
507,GradientBoost,F1_score,0.702127659574468
508,GradientBoost,F1_score,0.8301886792452831
509,GradientBoost,F1_score,1.0
510,XGBoost,F1_score,0.9411764705882353
511,XGBoost,F1_score,0.9807692307692307
512,XGBoost,F1_score,0.6881720430107527
513,XGBoost,F1_score,0.8349514563106797
514,XGBoost,F1_score,1.0
515,CatBoost,F1_score,0.888888888888889
516,CatBoost,F1_score,0.9904761904761905
517,CatBoost,F1_score,0.702127659574468
518,CatBoost,F1_score,0.8627450980392156
519,CatBoost,F1_score,1.0
520,Decision Tree,F1_score,0.888888888888889
521,Decision Tree,F1_score,0.9292929292929293
522,Decision Tree,F1_score,0.7551020408163266
523,Decision Tree,F1_score,0.8163265306122449
524,Decision Tree,F1_score,0.8760330578512397
525,Linear SVM,F1_score,0.7741935483870969
526,Linear SVM,F1_score,0.9607843137254902
527,Linear SVM,F1_score,0.64
528,Linear SVM,F1_score,0.9111111111111111
529,Linear SVM,F1_score,0.8793103448275862
530,DT-based Bagging,F1_score,0.9285714285714286
531,DT-based Bagging,F1_score,0.970873786407767
532,DT-based Bagging,F1_score,0.702127659574468
533,DT-based Bagging,F1_score,0.838095238095238
534,DT-based Bagging,F1_score,1.0
535,RandomForest,F1_score,0.9285714285714286
536,RandomForest,F1_score,0.9607843137254902
537,RandomForest,F1_score,0.6875
538,RandomForest,F1_score,0.8301886792452831
539,RandomForest,F1_score,0.9904761904761905
540,AdaBoost,F1_score,0.9090909090909091
541,AdaBoost,F1_score,1.0
542,AdaBoost,F1_score,0.7096774193548386
543,AdaBoost,F1_score,0.7706422018348624
544,AdaBoost,F1_score,0.9904761904761905
545,GradientBoost,F1_score,1.0
546,GradientBoost,F1_score,1.0
547,GradientBoost,F1_score,0.702127659574468
548,GradientBoost,F1_score,0.8301886792452831
549,GradientBoost,F1_score,1.0
550,XGBoost,F1_score,0.9411764705882353
551,XGBoost,F1_score,0.9807692307692307
552,XGBoost,F1_score,0.6881720430107527
553,XGBoost,F1_score,0.8349514563106797
554,XGBoost,F1_score,1.0
555,CatBoost,F1_score,0.888888888888889
556,CatBoost,F1_score,0.9904761904761905
557,CatBoost,F1_score,0.702127659574468
558,CatBoost,F1_score,0.8627450980392156
559,CatBoost,F1_score,1.0
560,Decision Tree,F1_score,0.888888888888889
561,Decision Tree,F1_score,0.9292929292929293
562,Decision Tree,F1_score,0.7551020408163266
563,Decision Tree,F1_score,0.8163265306122449
564,Decision Tree,F1_score,0.8760330578512397
565,Linear SVM,F1_score,0.7741935483870969
566,Linear SVM,F1_score,0.9607843137254902
567,Linear SVM,F1_score,0.64
568,Linear SVM,F1_score,0.9111111111111111
569,Linear SVM,F1_score,0.8793103448275862
570,DT-based Bagging,F1_score,0.9534883720930233
571,DT-based Bagging,F1_score,0.9607843137254902
572,DT-based Bagging,F1_score,0.7291666666666667
573,DT-based Bagging,F1_score,0.8301886792452831
574,DT-based Bagging,F1_score,0.9807692307692307
575,RandomForest,F1_score,0.888888888888889
576,RandomForest,F1_score,0.9607843137254902
577,RandomForest,F1_score,0.6947368421052631
578,RandomForest,F1_score,0.8301886792452831
579,RandomForest,F1_score,0.9904761904761905
580,AdaBoost,F1_score,0.967741935483871
581,AdaBoost,F1_score,1.0
582,AdaBoost,F1_score,0.7096774193548386
583,AdaBoost,F1_score,0.8190476190476191
